INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1983-099B,14373,ROCKET BODY,SL-14 R/B,CIS,1983-09-28,PKMTR,,97.05,82.54,631,603,,,0,LARGE,7346,1983,99,B,Y,SL-14 R/B,1983-099B,14373
2019-059B,44529,PAYLOAD,BNU-1,PRC,2019-09-12,TSC,,99.64,98.55,752,731,,,0,MEDIUM,7345,2019,59,B,Y,BNU-1,2019-059B,44529
1987-020AL,18800,DEBRIS,COSMOS 1823 DEB,CIS,1987-02-20,PKMTR,,116.24,73.59,1552,1471,,,0,SMALL,7337,1987,20,AL,Y,COSMOS 1823 DEB,1987-020AL,18800
2019-059A,44528,PAYLOAD,ZY-1 02D,PRC,2019-09-12,TSC,,100.33,98.55,775,773,,,0,LARGE,7345,2019,59,A,Y,ZY-1 02D,2019-059A,44528
2004-021C,28354,DEBRIS,SL-16 DEB,CIS,2004-06-10,TTMTR,,105.24,70.96,1170,841,,,0,SMALL,7345,2004,21,C,Y,SL-16 DEB,2004-021C,28354
1988-002C,18790,PAYLOAD,COSMOS 1911,CIS,1988-01-15,PKMTR,,113.90,82.61,1412,1398,,,0,LARGE,7337,1988,2,C,Y,COSMOS 1911,1988-002C,18790
1981-053HQ,14357,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,102.27,82.85,888,843,,,0,SMALL,7346,1981,53,HQ,Y,COSMOS 1275 DEB,1981-053HQ,14357
2019-058A,44519,PAYLOAD,XAIOXIANG-1 07,PRC,2019-08-30,JSC,,96.68,97.79,610,590,,,0,MEDIUM,7345,2019,58,A,Y,XAIOXIANG-1 07,2019-058A,44519
1988-002A,18788,PAYLOAD,COSMOS 1909,CIS,1988-01-15,PKMTR,,114.03,82.61,1412,1411,,,0,LARGE,7337,1988,2,A,Y,COSMOS 1909,1988-002A,18788
2019-057B,44518,ROCKET BODY,BREEZE-KM R/B,CIS,2019-08-30,PKMTR,,101.08,99.21,955,664,,,0,LARGE,7345,2019,57,B,Y,BREEZE-KM R/B,2019-057B,44518
1992-052J,44511,DEBRIS,ARIANE 42P DEB,FR,1992-08-10,FRGUI,,112.65,66.07,1417,1279,,,0,SMALL,7345,1992,52,J,Y,ARIANE 42P DEB,1992-052J,44511
1992-052G,44509,DEBRIS,ARIANE 42P DEB,FR,1992-08-10,FRGUI,,112.75,66.07,1414,1292,,,0,SMALL,7345,1992,52,G,Y,ARIANE 42P DEB,1992-052G,44509
1965-027AL,18784,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.10,90.30,1310,1245,,,0,SMALL,7337,1965,27,AL,Y,OPS 4682 DEB,1965-027AL,18784
2019-054E,44499,PAYLOAD,GLOBAL-4,US,2019-08-19,RLLC,,95.20,45.01,539,517,,,0,MEDIUM,7345,2019,54,E,Y,GLOBAL-4,2019-054E,44499
1997-051GC,34487,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,100.00,86.34,780,737,,,0,SMALL,7337,1997,51,GC,Y,IRIDIUM 33 DEB,1997-051GC,34487
2019-054D,44498,PAYLOAD,PEARL WHITE 2,US,2019-08-19,RLLC,,95.45,45.02,549,532,,,0,MEDIUM,7345,2019,54,D,Y,PEARL WHITE 2,2019-054D,44498
