INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1998-067A,25544,PAYLOAD,ISS (ZARYA),ISS,1998-11-20,TTMTR,,92.94,51.64,420,416,,,0,LARGE,7346,1998,67,A,Y,ISS (ZARYA),1998-067A,25544
1967-068B,2883,ROCKET BODY,ATLAS CENTAUR R/B,US,1967-07-14,AFETR,,113.38,64.66,2499,265,,5,0,,1,1967,68,B,Y,ATLAS CENTAUR R/B,1967-068B,2883
1975-122A,8510,PAYLOAD,PROGNOZ 4,CIS,1975-12-22,TTMTR,,91.50,65.04,465,232,,3,0,,5799,1975,122,A,Y,PROGNOZ 4,1975-122A,8510
2004-030A,28391,PAYLOAD,MESSENGER,US,2004-08-03,AFETR,,0.00,0.00,0,0,,5,0,,5799,2004,30,A,Y,MESSENGER,2004-030A,28391
2016-025F,41461,PAYLOAD,ASAP-S,FR,2016-04-25,FRGUI,,95.66,98.13,669,432,,,0,LARGE,7345,2016,25,F,Y,ASAP-S,2016-025F,41461
1990-081CE,20972,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.57,98.46,801,770,,,0,SMALL,7338,1990,81,CE,Y,CZ-4 DEB,1990-081CE,20972
2015-030C,43422,DEBRIS,GAOFEN 8 DEB,PRC,2015-06-26,TSC,,93.63,97.52,455,449,,,0,SMALL,7340,2015,30,C,Y,GAOFEN 8 DEB,2015-030C,43422
2016-025A,41456,PAYLOAD,SENTINEL 1B,ESA,2016-04-25,FRGUI,,98.68,98.18,697,695,,,0,LARGE,7345,2016,25,A,Y,SENTINEL 1B,2016-025A,41456
2015-020J,41721,DEBRIS,BREEZE-KM DEB,CIS,2015-03-31,PKMTR,,112.98,82.49,1554,1172,,,0,SMALL,7342,2015,20,J,Y,BREEZE-KM DEB,2015-020J,41721
2016-012N,41444,DEBRIS,ASTRO H DEB,JPN,2016-02-17,TNSTA,,95.10,31.00,529,517,,,0,SMALL,7345,2016,12,N,Y,ASTRO H DEB,2016-012N,41444
1992-093BS,22377,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,102.34,71.10,909,829,,,0,SMALL,7344,1992,93,BS,Y,SL-16 DEB,1992-093BS,22377
1992-021C,21941,ROCKET BODY,ARIANE 44L+ R/B,FR,1992-04-15,FRGUI,,104.76,3.97,1797,170,,,0,LARGE,7346,1992,21,C,Y,ARIANE 44L+ R/B,1992-021C,21941
2020-032C,45613,DEBRIS,CZ-11 DEB,PRC,2020-05-29,XSC,,94.13,35.03,485,468,,,0,MEDIUM,7337,2020,32,C,Y,CZ-11 DEB,2020-032C,45613
2000-055LB,41422,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.00,98.84,865,843,,,0,SMALL,7345,2000,55,LB,Y,NOAA 16 DEB,2000-055LB,41422
1992-093BH,22368,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,99.49,71.25,820,649,,,0,MEDIUM,7344,1992,93,BH,Y,SL-16 DEB,1992-093BH,22368
1992-093AL,22347,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,103.32,70.84,1045,786,,,0,SMALL,7344,1992,93,AL,Y,SL-16 DEB,1992-093AL,22347
1990-081BT,20907,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,98.82,98.21,711,693,,,0,SMALL,7338,1990,81,BT,Y,CZ-4 DEB,1990-081BT,20907
1990-081BQ,20904,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.20,98.36,783,753,,,0,SMALL,7338,1990,81,BQ,Y,CZ-4 DEB,1990-081BQ,20904
1990-081BP,20903,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.94,98.56,845,761,,,0,SMALL,7338,1990,81,BP,Y,CZ-4 DEB,1990-081BP,20903
1992-093P,22326,DEBRIS,SL-16 DEB,CIS,1992-12-25,TTMTR,,103.38,70.66,1026,811,,,0,SMALL,7344,1992,93,P,Y,SL-16 DEB,1992-093P,22326
1990-081AX,20887,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.22,98.41,784,753,,,0,SMALL,7338,1990,81,AX,Y,CZ-4 DEB,1990-081AX,20887
2000-055KT,41414,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,100.99,98.97,854,757,,,0,SMALL,7345,2000,55,KT,Y,NOAA 16 DEB,2000-055KT,41414
2000-055KP,41410,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.30,98.82,884,851,,,0,SMALL,7345,2000,55,KP,Y,NOAA 16 DEB,2000-055KP,41410
2000-055PB,41662,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.57,98.90,841,825,,,0,SMALL,7342,2000,55,PB,Y,NOAA 16 DEB,2000-055PB,41662
2000-055KG,41403,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.38,98.86,845,803,,,0,SMALL,7345,2000,55,KG,Y,NOAA 16 DEB,2000-055KG,41403
2000-055NT,41654,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.91,98.76,880,818,,,0,SMALL,7342,2000,55,NT,Y,NOAA 16 DEB,2000-055NT,41654
2000-055NR,41652,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.20,98.92,899,827,,,0,SMALL,7342,2000,55,NR,Y,NOAA 16 DEB,2000-055NR,41652
2016-020A,41394,PAYLOAD,COSMOS 2515,CIS,2016-03-24,PKMTR,,96.07,97.78,593,547,,,0,LARGE,7345,2016,20,A,Y,COSMOS 2515,2016-020A,41394
2001-056N,43369,DEBRIS,SL-16 DEB,CIS,2001-12-10,TTMTR,,101.88,99.27,918,778,,,0,SMALL,7340,2001,56,N,Y,SL-16 DEB,2001-056N,43369
1991-009CC,21919,DEBRIS,SL-8 DEB,CIS,1991-02-12,PKMTR,,122.57,74.07,2086,1504,,,0,SMALL,7346,1991,9,CC,Y,SL-8 DEB,1991-009CC,21919
2000-055JU,41375,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.47,98.94,844,812,,,0,SMALL,7345,2000,55,JU,Y,NOAA 16 DEB,2000-055JU,41375
1990-066B,20721,ROCKET BODY,SL-14 R/B,CIS,1990-07-30,PKMTR,,116.03,73.60,1521,1484,,,0,LARGE,7338,1990,66,B,Y,SL-14 R/B,1990-066B,20721
2000-055HZ,41356,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.32,98.85,901,835,,,0,SMALL,7345,2000,55,HZ,Y,NOAA 16 DEB,2000-055HZ,41356
2000-055HN,41345,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,100.22,98.86,821,717,,,0,SMALL,7345,2000,55,HN,Y,NOAA 16 DEB,2000-055HN,41345
2016-040Y,41621,DEBRIS,PSLV DEB,IND,2016-06-22,SRI,,94.18,97.33,487,471,,,0,LARGE,7342,2016,40,Y,Y,PSLV DEB,2016-040Y,41621
2016-012D,41340,PAYLOAD,HORYU 4,JPN,2016-02-17,TNSTA,,95.90,31.01,572,553,,,0,MEDIUM,7345,2016,12,D,Y,HORYU 4,2016-012D,41340
2016-012C,41339,PAYLOAD,CHUBUSAT 3,JPN,2016-02-17,TNSTA,,95.97,31.01,575,556,,,0,MEDIUM,7345,2016,12,C,Y,CHUBUSAT 3,2016-012C,41339
1989-050C,43336,DEBRIS,SL-8 DEB,CIS,1989-04-04,PKMTR,,104.51,82.96,1004,939,,,0,SMALL,7340,1989,50,C,Y,SL-8 DEB,1989-050C,43336
2016-040W,41619,PAYLOAD,BEESAT 4,GER,2016-06-22,SRI,,94.49,97.32,502,486,,,0,SMALL,7342,2016,40,W,Y,BEESAT 4,2016-040W,41619
2016-012A,41337,PAYLOAD,ASTRO H,JPN,2016-02-17,TNSTA,,96.08,31.01,579,562,,,0,LARGE,7345,2016,12,A,Y,ASTRO H,2016-012A,41337
1975-052GK,21514,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,109.91,99.86,1462,983,,,0,SMALL,7342,1975,52,GK,Y,DELTA 1 DEB,1975-052GK,21514
1975-052GH,21512,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,107.47,100.07,1138,1081,,,0,SMALL,7342,1975,52,GH,Y,DELTA 1 DEB,1975-052GH,21512
1975-052FS,21497,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,108.05,99.78,1181,1092,,,0,SMALL,7342,1975,52,FS,Y,DELTA 1 DEB,1975-052FS,21497
1985-047CE,43313,DEBRIS,COSMOS 1660 DEB,CIS,1985-06-14,PKMTR,,116.04,73.62,1524,1481,,,0,SMALL,7340,1985,47,CE,Y,COSMOS 1660 DEB,1985-047CE,43313
1992-008B,21876,ROCKET BODY,SL-8 R/B,CIS,1992-02-17,PKMTR,,104.68,82.93,1005,954,,,0,LARGE,7346,1992,8,B,Y,SL-8 R/B,1992-008B,21876
2016-011B,41336,ROCKET BODY,BREEZE-KM R/B,CIS,2016-02-16,PKMTR,,96.02,98.71,720,415,,,0,LARGE,7345,2016,11,B,Y,BREEZE-KM R/B,2016-011B,41336
2016-009B,41333,ROCKET BODY,UNHA 3 R/B,NKOR,2016-02-07,YUN,,93.56,97.36,476,421,,,0,LARGE,7345,2016,9,B,Y,UNHA 3 R/B,2016-009B,41333
1975-052FE,21470,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,106.76,99.68,1150,1003,,,0,SMALL,7342,1975,52,FE,Y,DELTA 1 DEB,1975-052FE,21470
1990-111A,21014,PAYLOAD,COSMOS 2112,CIS,1990-12-10,PKMTR,,100.46,74.05,801,760,,,0,LARGE,7345,1990,111,A,Y,COSMOS 2112,1990-111A,21014
1990-036B,20578,ROCKET BODY,SL-8 R/B,CIS,1990-04-20,PKMTR,,104.62,82.94,987,967,,,0,LARGE,7338,1990,36,B,Y,SL-8 R/B,1990-036B,20578
1991-086C,21826,DEBRIS,SL-14 DEB,CIS,1991-12-18,PKMTR,,103.19,82.57,1415,405,,,0,SMALL,7346,1991,86,C,Y,SL-14 DEB,1991-086C,21826
1990-031H,20576,DEBRIS,ATLAS 28E DEB,US,1990-04-11,AFWTR,,96.25,89.42,619,539,,,0,SMALL,7338,1990,31,H,Y,ATLAS 28E DEB,1990-031H,20576
1990-031G,20575,DEBRIS,ATLAS 28E DEB,US,1990-04-11,AFWTR,,96.95,90.28,638,587,,,0,SMALL,7338,1990,31,G,Y,ATLAS 28E DEB,1990-031G,20575
1980-022D,45514,DEBRIS,SL-8 DEB,CIS,1980-03-17,PKMTR,,104.51,82.94,994,949,,,0,SMALL,7337,1980,22,D,Y,SL-8 DEB,1980-022D,45514
1975-052EL,21452,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,116.63,99.74,2005,1054,,,0,SMALL,7342,1975,52,EL,Y,DELTA 1 DEB,1975-052EL,21452
1979-095CR,45509,DEBRIS,METEOR 2-5 DEB,CIS,1979-10-31,PKMTR,,101.51,81.20,832,829,,,0,SMALL,7337,1979,95,CR,Y,METEOR 2-5 DEB,1979-095CR,45509
2016-009A,41332,PAYLOAD,KMS 4,NKOR,2016-02-07,YUN,,93.85,97.32,479,447,,,0,MEDIUM,7345,2016,9,A,Y,KMS 4,2016-009A,41332
1990-029G,20555,PAYLOAD,COSMOS 2070,CIS,1990-04-06,PKMTR,,114.95,73.98,1463,1443,,,0,MEDIUM,7338,1990,29,G,Y,COSMOS 2070,1990-029G,20555
1980-073T,43299,DEBRIS,METEOR 2-6 DEB,CIS,1980-09-09,PKMTR,,101.26,81.22,838,799,,,0,SMALL,7340,1980,73,T,Y,METEOR 2-6 DEB,1980-073T,43299
1999-025CPR,31988,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.50,98.13,930,823,,,0,SMALL,7345,1999,25,CPR,Y,FENGYUN 1C DEB,1999-025CPR,31988
1980-073S,43298,DEBRIS,METEOR 2-6 DEB,CIS,1980-09-09,PKMTR,,101.37,81.22,847,800,,,0,SMALL,7340,1980,73,S,Y,METEOR 2-6 DEB,1980-073S,43298
1976-108C,43294,DEBRIS,COSMOS 864 DEB,CIS,1976-10-29,PKMTR,,104.69,82.94,1003,957,,,0,MEDIUM,7340,1976,108,C,Y,COSMOS 864 DEB,1976-108C,43294
1999-025CNY,31971,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.60,102.27,796,778,,,0,SMALL,7345,1999,25,CNY,Y,FENGYUN 1C DEB,1999-025CNY,31971
1999-025CNE,31953,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.58,99.38,957,710,,,0,SMALL,7345,1999,25,CNE,Y,FENGYUN 1C DEB,1999-025CNE,31953
1991-009BV,21406,DEBRIS,SL-8 DEB,CIS,1991-02-12,PKMTR,,116.94,73.92,1648,1438,,,0,SMALL,7342,1991,9,BV,Y,SL-8 DEB,1991-009BV,21406
1990-081BL,20900,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.36,99.03,809,743,,,0,SMALL,7345,1990,81,BL,Y,CZ-4 DEB,1990-081BL,20900
1999-025CNA,31949,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.85,98.62,941,751,,,0,SMALL,7345,1999,25,CNA,Y,FENGYUN 1C DEB,1999-025CNA,31949
1992-030D,21979,PAYLOAD,COSMOS 2190,CIS,1992-06-03,PKMTR,,114.99,74.00,1480,1431,,,0,MEDIUM,7340,1992,30,D,Y,COSMOS 2190,1992-030D,21979
1999-025CMT,31942,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.00,98.91,956,751,,,0,SMALL,7345,1999,25,CMT,Y,FENGYUN 1C DEB,1999-025CMT,31942
1991-056CS,45458,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,103.49,83.18,1087,761,,1,0,SMALL,7337,1991,56,CS,Y,SL-14 DEB,1991-056CS,45458
1990-081BD,20893,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,99.53,98.26,744,729,,,0,SMALL,7345,1990,81,BD,Y,CZ-4 DEB,1990-081BD,20893
2020-019AE,45388,PAYLOAD,STARLINK-1280,US,2020-03-18,AFETR,,96.06,53.00,571,569,,,0,LARGE,7337,2020,19,AE,Y,STARLINK-1280,2020-019AE,45388
1999-025CML,31935,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.56,99.70,881,784,,,0,SMALL,7345,1999,25,CML,Y,FENGYUN 1C DEB,1999-025CML,31935
1975-052DE,21384,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,111.58,99.68,1529,1070,,,0,SMALL,7342,1975,52,DE,Y,DELTA 1 DEB,1975-052DE,21384
1990-081BC,20892,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,104.40,99.09,1089,844,,,0,SMALL,7345,1990,81,BC,Y,CZ-4 DEB,1990-081BC,20892
1991-056CL,45352,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,109.34,82.74,1462,931,,1,0,MEDIUM,7337,1991,56,CL,Y,SL-14 DEB,1991-056CL,45352
1991-056CK,45351,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,105.42,82.64,1347,681,,1,0,MEDIUM,7337,1991,56,CK,Y,SL-14 DEB,1991-056CK,45351
1975-052CP,21369,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,101.22,99.67,886,746,,,0,SMALL,7342,1975,52,CP,Y,DELTA 1 DEB,1975-052CP,21369
1975-052JE,21678,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,109.60,99.97,1488,928,,,0,SMALL,7346,1975,52,JE,Y,DELTA 1 DEB,1975-052JE,21678
1991-056BZ,45335,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,101.28,83.55,1128,510,,1,0,SMALL,7337,1991,56,BZ,Y,SL-14 DEB,1991-056BZ,45335
1991-056BX,45333,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,116.89,82.63,1838,1244,,1,0,SMALL,7337,1991,56,BX,Y,SL-14 DEB,1991-056BX,45333
1975-052CJ,21364,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,111.10,99.64,1472,1083,,,0,SMALL,7342,1975,52,CJ,Y,DELTA 1 DEB,1975-052CJ,21364
1991-056BT,45329,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,109.61,82.72,1422,996,,1,0,SMALL,7337,1991,56,BT,Y,SL-14 DEB,1991-056BT,45329
1991-056BR,45327,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,107.87,82.57,1202,1054,,,0,SMALL,7337,1991,56,BR,Y,SL-14 DEB,1991-056BR,45327
1990-081AN,20878,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,99.20,98.22,733,708,,,0,MEDIUM,7345,1990,81,AN,Y,CZ-4 DEB,1990-081AN,20878
1975-052CG,21362,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,116.07,99.55,1963,1045,,,0,SMALL,7342,1975,52,CG,Y,DELTA 1 DEB,1975-052CG,21362
1991-056AY,45310,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,111.02,82.60,1350,1197,,,0,SMALL,7337,1991,56,AY,Y,SL-14 DEB,1991-056AY,45310
1991-056AS,45304,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,110.14,82.68,1294,1172,,,0,SMALL,7337,1991,56,AS,Y,SL-14 DEB,1991-056AS,45304
1975-052JS,21914,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,118.68,99.45,2131,1112,,,0,SMALL,7340,1975,52,JS,Y,DELTA 1 DEB,1975-052JS,21914
1990-081AM,20877,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,99.29,98.25,740,710,,,0,MEDIUM,7345,1990,81,AM,Y,CZ-4 DEB,1990-081AM,20877
1999-025CMB,31924,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,106.12,98.41,1259,834,,,0,SMALL,7345,1999,25,CMB,Y,FENGYUN 1C DEB,1999-025CMB,31924
1991-056AD,45291,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,109.96,82.55,1251,1199,,,0,SMALL,7337,1991,56,AD,Y,SL-14 DEB,1991-056AD,45291
1975-052JR,21910,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,112.52,99.69,1601,1084,,,0,SMALL,7340,1975,52,JR,Y,DELTA 1 DEB,1975-052JR,21910
2000-055GW,41294,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,101.40,98.85,840,811,,,0,SMALL,7345,2000,55,GW,Y,NOAA 16 DEB,2000-055GW,41294
1991-056V,45283,DEBRIS,SL-14 DEB,CIS,1991-08-15,PKMTR,,113.53,82.54,1583,1194,,,0,SMALL,7337,1991,56,V,Y,SL-14 DEB,1991-056V,45283
1975-052CA,21356,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,108.26,99.58,1217,1075,,,0,SMALL,7342,1975,52,CA,Y,DELTA 1 DEB,1975-052CA,21356
1999-025CLY,31921,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.14,99.42,1162,840,,,0,SMALL,7345,1999,25,CLY,Y,FENGYUN 1C DEB,1999-025CLY,31921
1999-025CLU,31917,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.72,98.43,945,640,,,0,SMALL,7345,1999,25,CLU,Y,FENGYUN 1C DEB,1999-025CLU,31917
1998-067RC,45259,TBA,OBJECT RC,TBD,1998-11-20,TTMTR,,92.82,51.64,418,408,,,0,SMALL,7337,1998,67,RC,Y,OBJECT RC,1998-067RC,45259
2000-055GQ,41288,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.35,98.94,895,844,,,0,SMALL,7345,2000,55,GQ,Y,NOAA 16 DEB,2000-055GQ,41288
1999-025CLT,31916,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.48,99.33,956,701,,,0,SMALL,7345,1999,25,CLT,Y,FENGYUN 1C DEB,1999-025CLT,31916
2000-055GN,41286,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,100.93,98.97,849,756,,,0,SMALL,7345,2000,55,GN,Y,NOAA 16 DEB,2000-055GN,41286
1999-025CLQ,31913,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.01,99.33,1161,828,,,0,SMALL,7345,1999,25,CLQ,Y,FENGYUN 1C DEB,1999-025CLQ,31913
1999-025CLN,31911,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,108.88,98.73,1588,761,,,0,SMALL,7345,1999,25,CLN,Y,FENGYUN 1C DEB,1999-025CLN,31911
1990-018B,20511,ROCKET BODY,SL-14 R/B,CIS,1990-02-28,PKMTR,,97.29,82.52,642,616,,,0,LARGE,7338,1990,18,B,Y,SL-14 R/B,1990-018B,20511
1990-081AC,20864,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,102.75,99.00,938,840,,,0,MEDIUM,7345,1990,81,AC,Y,CZ-4 DEB,1990-081AC,20864
1990-081AA,20862,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,105.89,98.96,1214,858,,,0,MEDIUM,7345,1990,81,AA,Y,CZ-4 DEB,1990-081AA,20862
1975-052AS,21324,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,110.25,99.56,1477,999,,,0,SMALL,7342,1975,52,AS,Y,DELTA 1 DEB,1975-052AS,21324
1999-025CKN,31887,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.39,99.55,802,752,,,0,SMALL,7345,1999,25,CKN,Y,FENGYUN 1C DEB,1999-025CKN,31887
1991-033A,21299,PAYLOAD,COSMOS 2143,CIS,1991-05-16,PKMTR,,113.94,82.58,1416,1398,,,0,LARGE,7342,1991,33,A,Y,COSMOS 2143,1991-033A,21299
2000-055GL,41284,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,103.33,98.79,987,845,,,0,SMALL,7345,2000,55,GL,Y,NOAA 16 DEB,2000-055GL,41284
1990-081T,20855,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,102.22,98.71,881,847,,,0,LARGE,7345,1990,81,T,Y,CZ-4 DEB,1990-081T,20855
1990-013C,20480,PAYLOAD,JAS 1B (FUJI 2),JPN,1990-02-07,TNSTA,,112.20,99.06,1745,911,,,0,MEDIUM,7338,1990,13,C,Y,JAS 1B (FUJI 2),1990-013C,20480
1990-081R,20853,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,100.12,98.31,782,746,,,0,MEDIUM,7345,1990,81,R,Y,CZ-4 DEB,1990-081R,20853
1990-081M,20849,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,101.97,98.61,882,822,,,0,LARGE,7345,1990,81,M,Y,CZ-4 DEB,1990-081M,20849
1990-081K,20847,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,97.01,98.55,627,604,,,0,LARGE,7345,1990,81,K,Y,CZ-4 DEB,1990-081K,20847
1990-086B,20827,ROCKET BODY,SL-14 R/B,CIS,1990-09-28,PKMTR,,104.05,82.53,960,940,,,0,LARGE,7345,1990,86,B,Y,SL-14 R/B,1990-086B,20827
1990-086A,20826,PAYLOAD,METEOR 2-20,CIS,1990-09-28,PKMTR,,104.03,82.52,959,938,,,0,LARGE,7345,1990,86,A,Y,METEOR 2-20,1990-086A,20826
1992-020B,21938,ROCKET BODY,SL-8 R/B,CIS,1992-04-15,PKMTR,,104.71,82.93,1002,959,,,0,LARGE,7339,1992,20,B,Y,SL-8 R/B,1992-020B,21938
1990-004D,20435,DEBRIS,SL-8 DEB,CIS,1990-01-18,PKMTR,,99.03,74.03,723,701,,,0,SMALL,7338,1990,4,D,Y,SL-8 DEB,1990-004D,20435
1990-081H,20798,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,101.62,98.60,843,828,,,0,SMALL,7345,1990,81,H,Y,CZ-4 DEB,1990-081H,20798
1990-004C,20434,DEBRIS,SL-8 DEB,CIS,1990-01-18,PKMTR,,99.80,74.04,761,737,,,0,SMALL,7338,1990,4,C,Y,SL-8 DEB,1990-004C,20434
1990-081D,20791,ROCKET BODY,CZ-4 R/B,PRC,1990-09-03,TSC,,103.40,98.84,957,881,,,0,LARGE,7345,1990,81,D,Y,CZ-4 R/B,1990-081D,20791
2000-055FY,41272,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.22,98.86,887,841,,,0,SMALL,7345,2000,55,FY,Y,NOAA 16 DEB,2000-055FY,41272
1975-052HQ,21570,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,119.63,99.52,2236,1092,,,0,SMALL,7346,1975,52,HQ,Y,DELTA 1 DEB,1975-052HQ,21570
1990-081A,20788,PAYLOAD,FENGYUN 1B,PRC,1990-09-03,TSC,,102.66,98.79,896,873,,,0,LARGE,7345,1990,81,A,Y,FENGYUN 1B,1990-081A,20788
2000-055FW,41270,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,,102.30,98.99,889,846,,,0,SMALL,7345,2000,55,FW,Y,NOAA 16 DEB,2000-055FW,41270
1978-100AR,21913,DEBRIS,SL-14 DEB,CIS,1978-10-26,PKMTR,,120.06,82.55,1697,1671,,,0,SMALL,7339,1978,100,AR,Y,SL-14 DEB,1978-100AR,21913
1975-052HA,21546,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,117.41,99.53,2054,1074,,,0,SMALL,7346,1975,52,HA,Y,DELTA 1 DEB,1975-052HA,21546
1990-074B,20763,ROCKET BODY,DELTA 2 R/B,US,1990-08-18,AFETR,,99.59,24.76,1020,458,,,0,LARGE,7345,1990,74,B,Y,DELTA 2 R/B,1990-074B,20763
1990-070G,20741,ROCKET BODY,SL-14 R/B,CIS,1990-08-08,PKMTR,,114.68,82.58,1468,1414,,,0,LARGE,7345,1990,70,G,Y,SL-14 R/B,1990-070G,20741
1990-070F,20740,PAYLOAD,COSMOS 2095,CIS,1990-08-08,PKMTR,,113.74,82.57,1412,1384,,,0,LARGE,7345,1990,70,F,Y,COSMOS 2095,1990-070F,20740
1970-025QE,20326,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,,99.46,99.88,782,683,,,0,SMALL,7338,1970,25,QE,Y,THORAD AGENA D DEB,1970-025QE,20326
1989-089B,20323,ROCKET BODY,DELTA 1 R/B,US,1989-11-18,AFWTR,,99.42,97.09,781,681,,,0,LARGE,7338,1989,89,B,Y,DELTA 1 R/B,1989-089B,20323
1990-070D,20738,PAYLOAD,COSMOS 2093,CIS,1990-08-08,PKMTR,,113.92,82.58,1413,1399,,,0,LARGE,7345,1990,70,D,Y,COSMOS 2093,1990-070D,20738
1990-070A,20735,PAYLOAD,COSMOS 2090,CIS,1990-08-08,PKMTR,,113.81,82.57,1412,1390,,,0,LARGE,7345,1990,70,A,Y,COSMOS 2090,1990-070A,20735
1975-052GZ,21545,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,108.97,99.75,1354,1005,,,0,SMALL,7346,1975,52,GZ,Y,DELTA 1 DEB,1975-052GZ,21545
1990-066A,20720,PAYLOAD,COSMOS 2088,CIS,1990-07-30,PKMTR,,116.06,73.60,1523,1484,,,0,LARGE,7345,1990,66,A,Y,COSMOS 2088,1990-066A,20720
